Start Timestamp,End Timestamp,Dialogue
"00:16:15,448","00:16:17,870","Stock boy, what do you think? - You're not gonna work at that place."
"00:16:18,070","00:16:20,188","Yeah, but you know..you start off.. - Jordan you're gonna be miserable.."
"00:16:20,388","00:16:22,931","at that place, if you go there. - It's sales. You work your way up.."
"00:16:23,131","00:16:24,837",You'd be a general manger.. - You're not gonna be a stock boy.
"00:16:25,037","00:16:27,265","Why not? - Cos, you're a stock broker."
"00:16:27,465","00:16:30,031","You understand that, nobody is hiring stock brokers right now."
"00:16:30,231","00:16:32,771",You understand that? Okay?
"00:16:37,696","00:16:39,161","Ah, this place is.."
"00:16:39,361","00:16:42,629",What does that say? - Stock brokers.
"00:16:44,846","00:16:48,005",Long Island. Stock brokers in Long Island.
"00:17:07,200","00:17:10,904","Hey, I’m looking for Investor’s Center?"
"00:17:11,104","00:17:13,309","That’s us, you wanna invest?"
"00:17:13,509","00:17:14,509",No.
"00:17:14,709","00:17:16,870",Investor’s Center. I’m looking for Investor’s Center?
"00:17:17,070","00:17:19,051","Yeah, that's us. This is it."
"00:17:19,251","00:17:22,107","Oh, I'm Dwayne. - You're Dwayne?"
"00:17:22,307","00:17:24,167","Yeah. - Hi, Dwayne. We spoke on the phone."
"00:17:24,367","00:17:28,306","I'm Jordan Belfort. I'm the broker from Rothschild, New york."
"00:17:28,506","00:17:29,506","Yes, yeah. Have a seat. How are you?"
"00:17:31,395","00:17:33,707","We spoke on the phone earlier, right? - Two hours ago."
"00:17:45,891","00:17:48,785","Where..where are your quotrons, here? - Quotrons?"
"00:17:48,985","00:17:51,758","- Yeah, computers. No, we don't need computers here."
"00:17:51,958","00:17:52,958",We just trade right off the pink sheets here.
"00:17:53,158","00:17:54,986","Pink sheets? - Yeah, they're Penny stocks."
"00:17:55,186","00:17:58,246","Company that can't get listed on NASDAQ, they don't have enough capital;"
"00:17:58,446","00:18:00,398",..their shares trade here. - Penny Stocks?
"00:18:00,598","00:18:04,173","Yeah, this one..Aerodhyne. is a really interesting..."
"00:18:04,373","00:18:06,718","Or Aero..Aerotyne? - Aerotyne, yeah."
"00:18:10,628","00:18:11,876",Very hot stock right now. - Yeah?
"00:18:12,076","00:18:15,588","They are couple of brothers, that are making radar detectors out of a garage;"
"00:18:15,788","00:18:18,108","They are out of Dubuque. Maybe, it's microwaves, I'm not sure. But.."
"00:18:18,308","00:18:19,308","You call the company's main line,"
"00:18:19,508","00:18:21,767","their mom Dorothy answers, and she's so sweet."
"00:18:26,260","00:18:30,652","Six cents a share? C'mon, Who buys this crap?"
"00:18:30,852","00:18:31,852","Well, I mean.."
"00:18:32,052","00:18:33,052","Honestly, mostly Schmucks."
"00:18:33,252","00:18:35,035","There's postmen, there's always a postman."
"00:18:35,235","00:18:37,150","Plumbers, uhm..?"
"00:18:37,350","00:18:39,305","They see our ads, in the back of Hustler,"
"00:18:39,505","00:18:41,789","Popular Mechanics, and our ads actually says,"
"00:18:41,989","00:18:42,989",they can get rich quick.
"00:18:43,189","00:18:44,189",Hustler? - Yeah..
"00:18:44,389","00:18:47,387","You know, that girlie magazine? - Yeah, nudie mag."
