IMDB ID,Start Timestamp,End Timestamp,Dialogue
The.Avengers,"00:17:25,173","00:17:26,168",We've kept our distance.
The.Avengers,"00:17:26,382","00:17:28,174",Even helped keep some other interested parties
The.Avengers,"00:17:28,343","00:17:29,374",off your scent.
The.Avengers,"00:17:29,886","00:17:30,882",Why?
The.Avengers,"00:17:31,012","00:17:33,384",Nick Fury seems to trust you.
The.Avengers,"00:17:33,598","00:17:35,223",But now we need you to come in.
The.Avengers,"00:17:36,184","00:17:38,058",What if I say no?
The.Avengers,"00:17:38,270","00:17:40,393",I'll persuade you.
The.Avengers,"00:17:42,524","00:17:46,854",And what if the other guy says no?
The.Avengers,"00:17:47,571","00:17:49,196",You've been more than a year without an incident.
The.Avengers,"00:17:49,407","00:17:51,979",I don't think you want to break that streak.
The.Avengers,"00:17:54,203","00:17:56,824","Well, I don't every time get what I want."
The.Avengers,"00:17:57,873","00:18:00,080","Doctor, we're facing a potential global catastrophe."
The.Avengers,"00:18:00,918","00:18:04,038","Well, those I actively try to avoid."
The.Avengers,"00:18:04,380","00:18:06,420",This
The.Avengers,"00:18:06,632","00:18:09,005",is the Tesseract.
The.Avengers,"00:18:09,219","00:18:12,006",It has the potential energy to wipe out the planet.
The.Avengers,"00:18:14,850","00:18:17,008","What does Fury want me to do, swallow it?"
The.Avengers,"00:18:17,226","00:18:19,682",He wants you to find it. It's been taken.
The.Avengers,"00:18:20,521","00:18:24,685",It emits a gamma signature that's too weak for us to trace.
The.Avengers,"00:18:24,901","00:18:27,819",There's no one that knows gamma radiation like you do.
The.Avengers,"00:18:28,029","00:18:30,817","If there was, that's where I'd be."
The.Avengers,"00:18:31,408","00:18:33,567","So, Fury isn't after the monster?"
The.Avengers,"00:18:33,785","00:18:35,031",Not that he's told me.
The.Avengers,"00:18:35,245","00:18:37,404",And he tells you everything?
The.Avengers,"00:18:38,082","00:18:39,457",Talk to Fury. He needs you on this.
The.Avengers,"00:18:39,583","00:18:40,615",He needs me in a cage?
The.Avengers,"00:18:40,751","00:18:41,747",No one's going to put you in a...
The.Avengers,"00:18:41,919","00:18:42,915",Stop lying to me!
The.Avengers,"00:18:47,132","00:18:49,754",I'm sorry. That was mean.
The.Avengers,"00:18:50,719","00:18:52,878",I just wanted to see what you'd do.
The.Avengers,"00:18:54,098","00:18:57,052",Why don't we do this the easy way
The.Avengers,"00:18:57,268","00:18:58,513",where you don't use that
The.Avengers,"00:18:58,728","00:19:02,642",and the other guy doesn't make a mess.
The.Avengers,"00:19:03,441","00:19:04,722",Okay?
The.Avengers,"00:19:05,735","00:19:07,064",Natasha?
The.Avengers,"00:19:12,742","00:19:13,773",Stand down.
The.Avengers,"00:19:14,744","00:19:16,286",<i>We're good here.</i>
The.Avengers,"00:19:18,122","00:19:19,665","""Just you and me."""
The.Avengers,"00:19:21,835","00:19:24,408","<i>This is out of line, Director.</i>"
The.Avengers,"00:19:24,629","00:19:27,037",<i>You're dealing with forces you can't control.</i>
The.Avengers,"00:19:27,466","00:19:30,917","You ever been in a war, Councilman? In a firefight?"
The.Avengers,"00:19:31,136","00:19:33,924",Did you feel an overabundance of control?
The.Avengers,"00:19:34,140","00:19:37,509",<i>You're saying that this Asgard is declaring war on our planet?</i>
The.Avengers,"00:19:37,643","00:19:40,264",Not Asgard. Loki.
The.Avengers,"00:19:40,479","00:19:43,266",<i>He can't be working alone. What about the other one?</i>
The.Avengers,"00:19:43,398","00:19:44,430",<i>His brother.</i>
The.Avengers,"00:19:44,566","00:19:46,606",Our intelligence says Thor is not a hostile
The.Avengers,"00:19:46,819","00:19:47,815",but he's worlds away.
The.Avengers,"00:19:47,987","00:19:49,778","We can't depend on him to help, either."
The.Avengers,"00:19:49,905","00:19:50,901",It's up to us.
The.Avengers,"00:19:51,032","00:19:53,653",<i>Which is why you should be focusing on Phase 2.</i>
The.Avengers,"00:19:53,826","00:19:55,107",<i>It was designed for exactly this...</i>
The.Avengers,"00:19:55,328","00:19:58,495",Phase 2 isn't ready. Our enemy is.
The.Avengers,"00:19:58,748","00:20:00,290",We need a response team.
The.Avengers,"00:20:00,500","00:20:02,789",<i>The Avengers Initiative was shut down.</i>
The.Avengers,"00:20:03,003","00:20:04,794",This isn't about the Avengers.
The.Avengers,"00:20:05,005","00:20:06,119",<i>We've seen the list.</i>
The.Avengers,"00:20:06,339","00:20:08,545",<i>You're running the world's greatest covert security network</i>
The.Avengers,"00:20:08,674","00:20:10,299",<i>and you're going to leave the fate of the human race</i>
